Address,City,Total Number of Alerts,Medical,Fire,No Emergency,Public Service,Hazardous Situation,Uncategorized,Law Enforcement Support
"6278 POPLAR CORNER RD","WALLS",1,1,0,0,0,0,0,0
"2600 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"6685 RIVERDALE RD","HORN LAKE",1,1,0,0,0,0,0,0
"4150 PENWELL DR","HORN LAKE",1,1,0,0,0,0,0,0
"1436 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"2464 LASONYA LN","HORN LAKE",1,1,0,0,0,0,0,0
"6371 OLIVIA PLACE CV","HORN LAKE",1,1,0,0,0,0,0,0
"5920 CHANCE DR N","HORN LAKE",1,1,0,0,0,0,0,0
"7111 HAMPTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"6310 HEATHER CV","HORN LAKE",1,1,0,0,0,0,0,0
"7318 GEORGE CV","HORN LAKE",1,1,0,0,0,0,0,0
"5834 JACKSON DR","HORN LAKE",1,1,0,0,0,0,0,0
"3050 BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"5236 CAROLINE DR","HORN LAKE",1,1,0,0,0,0,0,0
"4200 SHADOW GLEN DR","HORN LAKE",1,1,0,0,0,0,0,0
"7182 BRENWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"SHANNON DR","HORN LAKE",1,0,0,0,1,0,0,0
"LAURELWOOD DR & TULANE RD N","HORN LAKE",1,0,0,0,1,0,0,0
"2900 BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"4323 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"6416 TULANE RD N","HORN LAKE",1,1,0,0,0,0,0,0
"7357 MALLARD CREEK DR","HORN LAKE",1,1,0,0,0,0,0,0
"391 SOUTHCREST CIR","SOUTHAVEN",1,1,0,0,0,0,0,0
"GOODMAN RD W & HAMPTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"SHADOW OAKS PKWY & DUNBARTON DR","HORN LAKE",1,0,0,0,0,1,0,0
"1677 DANCY BLVD","HORN LAKE",1,1,0,0,0,0,0,0
"2700 SHADY GROVE DR","HORN LAKE",1,1,0,0,0,0,0,0
"6285 RIDGEWOOD RD","HORN LAKE",1,1,0,0,0,0,0,0
"5940 CHANCE DR N","HORN LAKE",1,1,0,0,0,0,0,0
"5148 CRESTWOOD CV","HORN LAKE",1,0,0,0,0,1,0,0
"TULANE RD N & NORMANDY DR","HORN LAKE",1,1,0,0,0,0,0,0
"5685 CHOCTAW DR","HORN LAKE",1,1,0,0,0,0,0,0
"4189 MCSWAIN DR","HORN LAKE",1,1,0,0,0,0,0,0
"1972 TISSINGTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"ANDERTON BLVD & HORN LAKE RD N","HORN LAKE",1,1,0,0,0,0,0,0
"3019 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"3670 CARROLL DR","HORN LAKE",1,1,0,0,0,0,0,0
"2545 EASTBROOK DR","HORN LAKE",1,1,0,0,0,0,0,0
"4473 SHADOW HOLLOW DR","HORN LAKE",1,1,0,0,0,0,0,0
"3130 BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"5575 KENTWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"6170 KENTWOOD DR","HORN LAKE",1,0,0,0,0,1,0,0
"1433 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"2940 VALLEYBROOK RD","HORN LAKE",1,1,0,0,0,0,0,0
"3185 MAYFAIR DR","HORN LAKE",1,1,0,0,0,0,0,0
"1574 CHURCH RD W","HORN LAKE",1,1,0,0,0,0,0,0
"1900 ENGINEERS CV","HORN LAKE",1,1,0,0,0,0,0,0
"7113 WINDSOR DR","HORN LAKE",1,1,0,0,0,0,0,0
"5384 BLUE WILLOW LN","HORN LAKE",1,1,0,0,0,0,0,0
"5832 CHANCE DR N","HORN LAKE",1,0,0,0,1,0,0,0
"4020 RAVENWOOD DR N","HORN LAKE",1,1,0,0,0,0,0,0
"2945 KENT CV","HORN LAKE",1,1,0,0,0,0,0,0
"3420 EDENSHIRE DR","HORN LAKE",1,1,0,0,0,0,0,0
"3500 CASTLE DR","HORN LAKE",1,1,0,0,0,0,0,0
"6680 EVERGREEN CV","HORN LAKE",1,1,0,0,0,0,0,0
"6320 RIDGEWOOD RD","HORN LAKE",1,0,0,0,1,0,0,0
"2744 HEATHERGLEN CV W","HORN LAKE",1,1,0,0,0,0,0,0
"2680 RIDGEWOOD CV","HORN LAKE",1,1,0,0,0,0,0,0
"5774 THOMAS ST","HORN LAKE",1,1,0,0,0,0,0,0
"2889 CONNOR REED DR","HORN LAKE",1,1,0,0,0,0,0,0
"1005 KUYKENDALL LN","HORN LAKE",1,1,0,0,0,0,0,0
"8705 HWY 61 N","WALLS",1,1,0,0,0,0,0,0
"2905 WINDSOR CV","HORN LAKE",1,1,0,0,0,0,0,0
"5706 CHOCTAW DR","HORN LAKE",1,1,0,0,0,0,0,0
"6620 DUNBARTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"8075 HWY 61 N","WALLS",1,1,0,0,0,0,0,0
